Barrios,Población,0-15 años,16-64 años,65 o más años ,Edad promedio,Densidad,Superficie,Índice de la estructura de la población activa,Tasa de desempleo,Nacimientos,Defunciones,Inmigración,Emigración,"Renta neta media anual de los hogares
",Actividades economicas,Educacion,Centros Universitarios,Sanidad,Bibliotecas,"Instalaciones deportivas(Polideportivos, no básicas",Zonas verdes (m2),Distancia al centro (km),Metro,Tren,Autobus,Monumentos,Ocio/cultura,Residuos generados,Seguridad Percibida día,Seguridad Percibida de Noche,Delitos intervencion policial,Delitos contra seguridad vial,Precio feb 2021,Variación mensual,Variación trimestral,Variación anual,Máximo histórico(precio),Satisfacción de vivir en su barrio,Calidad de vida actual en su barrio,Malo,Regular,Muy bueno
Abrantes,31947,5136,21245,5566,42.37,235.5973451,1.356,78.01,12.53,241,237,2272,1202,28513.0,646,25,0,17,0,0,709659,4.50102,1,0,1,9,40,8952,71.3,49.1,79,37,2216,-1.5,-0.7,-1.1,2908,68.4,66.2,1,0,0
Adelfas,18864,2519,12179,4087,45.2,294.75,0.64,74.61,7.39,162,175,825,505,46145.0,363,23,0,23,1,0,50768,3.227302,1,0,1,1,78,5233,81.0,67.0,28,18,4077,-0.1,0.01,-3.2,4353,82.2,80.2,0,0,1
Aeropuerto,1900,278,1335,287,42.0,0.7560082763,25.132,80.89,10.34,22,9,150,92,41636.0,375,3,0,5,0,0,7345,13.97507,1,1,1,2,26,740,81.6,67.6,4,1,2622,-3.7,-9.0,-13.5,3203,79.0,80.9,0,0,1
Alameda de Osuna,19820,3302,11403,5115,45.16,101.0708822,1.961,63.41,6.93,117,110,609,512,25366.0,347,22,0,18,0,2,444699,10.78982,1,0,1,23,274,7716,81.6,67.6,38,14,3421,0.013,-0.6,0.031,3442,79.0,80.9,0,0,1
Almagro,19903,2264,12841,4733,46.24,212.411953,0.937,89.68,5.49,165,207,1317,599,69963.0,1049,35,1,52,0,0,4827,1.865322,1,0,1,29,39,6043,81.4,75.2,36,17,6203,-1.7,-3.9,-7.1,6728,79.1,80.0,1,0,0
Almenara,23096,2762,15791,4450,44.3,231.1911912,0.999,95.19,12.89,181,290,1583,888,29675.0,771,36,0,51,1,1,156708,5.971766,1,0,1,1,77,7243,80.8,60.4,74,26,3411,-0.9,-0.7,-2.4,3508,66.5,67.1,1,0,0
Almendrales,22179,3329,15349,3501,41.68,287.2927461,0.772,90.2,12.67,189,153,1716,852,26567.0,697,18,0,23,0,0,81222,3.634204,1,0,1,5,584,5995,67.3,44.9,59,23,1956,-0.4,-1.6,-9.2,2730,60.1,61.8,0,1,0
Aluche,67418,7634,39989,19795,48.38,236.6374166,2.849,79.98,10.79,422,631,3708,1914,31245.0,1833,74,0,112,2,0,462934,5.422167,1,1,1,17,117,18314,72.2,54.4,103,57,2086,-2.2,-4.1,-5.2,2658,68.5,68.6,1,0,0
Amposta,8874,1314,5923,1637,43.52,239.8378378,0.37,86.38,17.16,80,119,657,335,38875.0,217,4,0,19,0,0,76957,6.965015,1,0,1,1,34,3167,76.0,66.0,23,4,1859,0.0,-3.3,-8.7,2078,67.8,70.3,0,0,1
Apostol Santiago,15555,1890,10412,3253,45.63,129.1943522,1.204,73.01,10.07,96,152,791,570,37313.0,202,12,0,9,0,1,313766,7.364464,1,0,1,5,119,4503,76.4,60.9,18,7,2983,0.081,0.096,0.031,2983,75.2,75.7,0,0,1
Arapiles,24792,2564,16253,5887,46.01,428.9273356,0.578,104.54,7.32,194,259,1817,927,42935.0,1167,59,1,52,0,0,11185,1.950981,1,0,1,8,48,7527,81.4,75.2,45,21,4803,-1.5,-3.3,-3.9,5435,79.1,80.0,1,0,0
Aravaca,27503,5427,17860,4216,40.11,46.9735269,5.855,75.51,5.14,205,135,1329,1033,68120.0,563,52,0,48,0,1,870192,8.111993,1,1,1,8,49,12253,83.5,70.5,64,32,3623,0.014,0.02,-1.5,3742,81.0,79.5,0,0,1
Arcos,24692,3727,16638,4327,43.32,189.210728,1.305,71.14,12.63,163,246,1063,635,54991.0,320,26,1,14,1,0,171934,7.233839,1,0,1,4,95,8812,76.0,66.0,64,11,2118,-0.3,-2.0,-2.3,2421,67.8,70.3,0,0,1
