,Barrios,m2,Habitaciones,Baños,Población,0-15 años,16-64 años,65 o más años ,Edad promedio,Densidad,Superficie,Índice de la estructura de la población activa,Tasa de desempleo,Nacimientos,Defunciones,Inmigración,Emigración,"Renta neta media anual de los hogares
",Actividades economicas,Educacion,Centros Universitarios,Sanidad,Bibliotecas,"Instalaciones deportivas(Polideportivos, no básicas",Zonas verdes (m2),Distancia al centro (km),Metro,Tren,Autobus,Monumentos,Ocio/cultura,Residuos generados,Seguridad Percibida día,Seguridad Percibida de Noche,Delitos intervencion policial,Delitos contra seguridad vial,Precio feb 2021,Variación mensual,Variación trimestral,Variación anual,Máximo histórico(precio),Satisfacción de vivir en su barrio,Calidad de vida actual en su barrio,Malo,Regular,Muy bueno
0,Abrantes,99,4,1,31947,5136,21245,5566,42.37,235.5973451,1.356,78.01,12.53,241,237,2272,1202,28513.0,646,25,0,17,0,0,709659,4.50102,1,0,1,9,40,8952,71.3,49.1,79,37,2216,-1.5,-0.7,-1.1,2908,68.4,66.2,1,0,0
1,Abrantes,100,3,2,31947,5136,21245,5566,42.37,235.5973451,1.356,78.01,12.53,241,237,2272,1202,28513.0,646,25,0,17,0,0,709659,4.50102,1,0,1,9,40,8952,71.3,49.1,79,37,2216,-1.5,-0.7,-1.1,2908,68.4,66.2,1,0,0
2,Abrantes,87,2,2,31947,5136,21245,5566,42.37,235.5973451,1.356,78.01,12.53,241,237,2272,1202,28513.0,646,25,0,17,0,0,709659,4.50102,1,0,1,9,40,8952,71.3,49.1,79,37,2216,-1.5,-0.7,-1.1,2908,68.4,66.2,1,0,0
3,Abrantes,88,3,1,31947,5136,21245,5566,42.37,235.5973451,1.356,78.01,12.53,241,237,2272,1202,28513.0,646,25,0,17,0,0,709659,4.50102,1,0,1,9,40,8952,71.3,49.1,79,37,2216,-1.5,-0.7,-1.1,2908,68.4,66.2,1,0,0
4,Abrantes,62,3,1,31947,5136,21245,5566,42.37,235.5973451,1.356,78.01,12.53,241,237,2272,1202,28513.0,646,25,0,17,0,0,709659,4.50102,1,0,1,9,40,8952,71.3,49.1,79,37,2216,-1.5,-0.7,-1.1,2908,68.4,66.2,1,0,0
5,Abrantes,117,4,2,31947,5136,21245,5566,42.37,235.5973451,1.356,78.01,12.53,241,237,2272,1202,28513.0,646,25,0,17,0,0,709659,4.50102,1,0,1,9,40,8952,71.3,49.1,79,37,2216,-1.5,-0.7,-1.1,2908,68.4,66.2,1,0,0
6,Abrantes,79,3,1,31947,5136,21245,5566,42.37,235.5973451,1.356,78.01,12.53,241,237,2272,1202,28513.0,646,25,0,17,0,0,709659,4.50102,1,0,1,9,40,8952,71.3,49.1,79,37,2216,-1.5,-0.7,-1.1,2908,68.4,66.2,1,0,0
7,Abrantes,71,3,1,31947,5136,21245,5566,42.37,235.5973451,1.356,78.01,12.53,241,237,2272,1202,28513.0,646,25,0,17,0,0,709659,4.50102,1,0,1,9,40,8952,71.3,49.1,79,37,2216,-1.5,-0.7,-1.1,2908,68.4,66.2,1,0,0
8,Abrantes,76,3,1,31947,5136,21245,5566,42.37,235.5973451,1.356,78.01,12.53,241,237,2272,1202,28513.0,646,25,0,17,0,0,709659,4.50102,1,0,1,9,40,8952,71.3,49.1,79,37,2216,-1.5,-0.7,-1.1,2908,68.4,66.2,1,0,0
9,Abrantes,70,3,1,31947,5136,21245,5566,42.37,235.5973451,1.356,78.01,12.53,241,237,2272,1202,28513.0,646,25,0,17,0,0,709659,4.50102,1,0,1,9,40,8952,71.3,49.1,79,37,2216,-1.5,-0.7,-1.1,2908,68.4,66.2,1,0,0
